home_cityregion,rtswt_cycle,rtswt_cartaxi,rtswt_mc,rtswt_bus,rtswt_van
bristol,1.079947719463911,1.167977082269042,1.811390030020745,1.016666581093749,5.36316430725227
greatermanchester,1.079947719463911,1.110447987597245,1.351245983564084,1.016666581093749,7.137210651150983
leeds,1.079947719463911,1.061624076669541,1.466214429280264,1.016666581093749,6.814483014227804
liverpool,1.079947719463911,1.257124790476495,1.674041629101461,1.016666581093749,8.035683351795935
london,1.079947719463911,.9356754054522134,1.71835059566234,1.016666581093749,5.889232281896941
northeast,1.079947719463911,1.08749213099349,1.112677535872019,1.016666581093749,6.211118263628912
nottingham,1.079947719463911,1.134109973748448,2.038180500044912,1.016666581093749,6.57696288418764
otherengland,1.079947719463911,1.234057020059789,2.056437125367174,1.016666581093749,6.580895214296035
sheffield,1.079947719463911,1.166874583584813,1.574560134158081,1.016666581093749,8.091472871982322
westmidlands,1.079947719463911,1.239753995934306,1.372334321090114,1.016666581093749,5.907084231096608
